iter	Passed	Remaining
204	539	2091
205	540	2085
206	542	2078
207	544	2072
208	546	2067
209	548	2062
210	550	2057
211	552	2052
212	553	2046
213	555	2040
214	557	2035
215	559	2029
216	560	2023
217	562	2018
218	564	2012
219	566	2007
220	568	2002
221	569	1996
222	571	1991
223	573	1985
224	574	1980
225	576	1975
226	578	1971
227	580	1967
228	582	1962
229	584	1957
230	586	1952
231	588	1947
232	590	1942
233	592	1938
234	594	1934
235	596	1929
236	597	1924
237	599	1919
238	601	1914
239	603	1909
240	604	1904
241	606	1900
242	608	1896
243	610	1892
244	612	1887
245	614	1882
246	615	1877
247	617	1872
248	619	1867
249	621	1863
250	623	1859
251	624	1855
252	626	1850
253	628	1846
254	630	1841
255	632	1836
256	633	1832
257	635	1828
258	637	1823
259	639	1819
260	641	1815
261	642	1810
262	644	1806
263	646	1802
264	648	1797
265	650	1795
266	652	1791
267	654	1787
268	656	1783
269	658	1780
270	660	1777
271	662	1772
272	664	1768
273	666	1764
274	668	1761
275	670	1758
276	672	1754
277	673	1750
278	675	1746
279	677	1741
280	679	1738
281	681	1734
282	683	1731
283	685	1727
284	686	1723
285	688	1719
286	690	1715
287	692	1711
288	694	1707
289	695	1703
290	697	1699
291	699	1696
292	701	1692
293	703	1688
294	705	1684
295	706	1680
296	708	1677
297	710	1673
298	712	1670
299	714	1667
300	716	1664
301	718	1660
302	720	1657
303	722	1653
304	724	1650
305	725	1646
306	727	1642
307	729	1639
308	731	1635
309	733	1632
310	734	1628
311	736	1624
312	738	1621
313	740	1617
314	742	1614
315	744	1611
316	746	1607
317	747	1604
318	749	1600
319	751	1596
320	753	1593
321	755	1590
322	756	1586
323	758	1582
324	760	1579
325	762	1575
326	763	1572
327	765	1568
328	767	1565
329	769	1561
330	771	1558
331	772	1555
332	774	1551
333	776	1548
334	778	1545
335	780	1541
336	781	1538
337	783	1534
338	785	1531
339	787	1528
340	789	1525
341	790	1521
342	792	1518
343	794	1515
344	796	1511
345	798	1509
346	800	1505
347	801	1502
348	803	1499
349	805	1495
350	807	1492
351	809	1489
352	810	1486
353	812	1483
354	814	1480
355	816	1477
356	818	1474
357	820	1470
358	822	1467
359	823	1464
360	825	1461
361	827	1457
362	829	1455
363	830	1451
364	832	1448
365	834	1445
366	836	1442
367	838	1439
368	839	1436
369	841	1433
370	843	1430
371	845	1428
372	847	1425
373	849	1422
374	851	1419
375	853	1416
376	855	1413
377	857	1410
378	859	1407
379	860	1404
380	862	1401
381	864	1398
382	866	1396
383	868	1392
384	869	1389
385	872	1387
386	874	1384
387	876	1382
388	878	1379
389	879	1376
390	881	1373
391	883	1370
392	885	1367
393	887	1365
394	889	1362
395	891	1359
396	893	1356
397	895	1353
398	896	1350
399	898	1347
400	900	1345
401	902	1342
402	904	1340
403	906	1337
404	908	1335
405	910	1332
406	912	1329
407	914	1326
408	916	1324
409	918	1321
410	920	1318
411	921	1315
412	923	1313
413	925	1310
414	927	1308
415	929	1305
416	931	1302
417	933	1299
418	935	1297
419	937	1294
420	939	1291
421	940	1288
422	942	1285
423	944	1283
424	946	1280
425	948	1278
426	950	1275
427	952	1272
428	953	1269
429	955	1266
430	957	1263
431	959	1261
432	961	1258
433	963	1256
434	965	1253
435	966	1250
436	968	1248
437	970	1245
438	972	1242
439	974	1239
440	976	1237
441	977	1234
442	979	1232
443	982	1229
444	983	1227
445	985	1224
446	987	1221
447	989	1219
448	991	1216
449	993	1213
450	995	1211
451	996	1208
452	998	1206
453	1000	1203
454	1002	1200
